date,new_cases,new_deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,1,0
2020-03-05,1,0
2020-03-06,3,0
2020-03-07,3,0
2020-03-08,3,0
2020-03-09,5,0
2020-03-10,11,0
2020-03-11,13,0
2020-03-12,21,0
2020-03-13,32,0
2020-03-14,31,0
2020-03-15,40,0
2020-03-16,77,1
2020-03-17,96,1
2020-03-18,162,1
2020-03-19,185,2
2020-03-20,155,0
2020-03-21,125,2
2020-03-22,168,2
2020-03-23,289,3
2020-03-24,350,2
2020-03-25,367,5
2020-03-26,413,2
2020-03-27,404,8
2020-03-28,248,4
2020-03-29,283,20
2020-03-30,439,12
2020-03-31,489,16
2020-04-01,461,24
2020-04-02,436,15
2020-04-03,464,24
2020-04-04,326,22
2020-04-05,292,26
2020-04-06,583,22
2020-04-07,556,25
2020-04-08,704,36
2020-04-09,574,25
2020-04-10,570,32
2020-04-11,397,33
2020-04-12,341,33
2020-04-13,694,32
2020-04-14,666,33
2020-04-15,630,31
2020-04-16,677,31
2020-04-17,774,43
2020-04-18,534,39
2020-04-19,459,35
2020-04-20,990,40
2020-04-21,873,36
2020-04-22,1053,45
2020-04-23,1466,36
2020-04-24,1074,54
2020-04-25,638,38
2020-04-26,434,51
2020-04-27,1157,35
2020-04-28,1321,56
2020-04-29,1151,44
2020-04-30,1274,40
2020-05-01,1173,39
2020-05-02,719,49
2020-05-03,464,45
2020-05-04,1121,48
2020-05-05,1091,58
2020-05-06,968,44
2020-05-07,939,49
2020-05-08,921,43
2020-05-09,520,53
2020-05-10,306,38
2020-05-11,1017,38
2020-05-12,940,46
2020-05-13,877,45
2020-05-14,778,45
2020-05-15,968,49
2020-05-16,514,28
2020-05-17,326,41
2020-05-18,943,33
2020-05-19,888,27
2020-05-20,771,29
2020-05-21,798,34
2020-05-22,724,36
2020-05-23,328,30
2020-05-24,278,27
2020-05-25,252,23
2020-05-26,749,23
2020-05-27,614,26
2020-05-28,521,22
2020-05-29,458,20
2020-05-30,237,21
2020-05-31,121,22
2020-06-01,233,20
2020-06-02,247,25
2020-06-03,280,21
2020-06-04,319,15
2020-06-05,337,17
2020-06-06,170,20
2020-06-07,110,20
2020-06-08,273,15
2020-06-09,254,23
2020-06-10,232,12
2020-06-11,201,10
2020-06-12,248,21
2020-06-13,120,18
2020-06-14,92,12
2020-06-15,235,20
2020-06-16,210,11
2020-06-17,219,21
2020-06-18,184,14
2020-06-19,219,15
2020-06-20,125,10
2020-06-21,48,11
2020-06-22,218,9
2020-06-23,234,9
2020-06-24,245,9
2020-06-25,249,11
2020-06-26,219,13
2020-06-27,130,5
2020-06-28,110,5
2020-06-29,279,7
2020-06-30,264,3
2020-07-01,266,13
2020-07-02,256,6
2020-07-03,174,5
2020-07-04,63,5
2020-07-05,90,3
2020-07-06,282,5
2020-07-07,341,4
2020-07-08,306,4
2020-07-09,288,8
2020-07-10,344,6
2020-07-11,154,2
2020-07-12,97,4
2020-07-13,337,4
2020-07-14,324,3
2020-07-15,268,7
2020-07-16,298,2
2020-07-17,324,3
2020-07-18,132,4
2020-07-19,100,2
2020-07-20,394,5
2020-07-21,289,1
2020-07-22,364,4
2020-07-23,318,3
2020-07-24,346,3
2020-07-25,155,8
2020-07-26,96,6
2020-07-27,362,1
2020-07-28,332,3
2020-07-29,446,3
2020-07-30,339,3
2020-07-31,392,2
2020-08-01,141,5
2020-08-02,95,3
2020-08-03,428,3
2020-08-04,369,2
2020-08-05,378,4
2020-08-06,349,4
2020-08-07,417,2
2020-08-08,177,3
2020-08-09,115,2
2020-08-10,376,1
2020-08-11,386,4
2020-08-12,432,2
2020-08-13,390,4
2020-08-14,347,3
2020-08-15,221,5
2020-08-16,120,3
2020-08-17,489,3
2020-08-18,411,1
2020-08-19,485,5
2020-08-20,422,3
2020-08-21,430,5
2020-08-22,191,2
2020-08-23,130,1
2020-08-24,554,3
2020-08-25,412,4
2020-08-26,388,3
2020-08-27,382,2
2020-08-28,383,4
2020-08-29,233,4
2020-08-30,100,5
2020-08-31,413,2
2020-09-01,330,3
2020-09-02,405,3
2020-09-03,341,3
2020-09-04,395,2
2020-09-05,203,3
2020-09-06,143,2
2020-09-07,72,1
2020-09-08,369,1
2020-09-09,400,5
2020-09-10,329,2
2020-09-11,342,5
2020-09-12,136,0
2020-09-13,123,3
2020-09-14,430,3
2020-09-15,352,1
2020-09-16,365,4
2020-09-17,391,0
2020-09-18,356,4
2020-09-19,170,2
2020-09-20,108,6
2020-09-21,420,2
2020-09-22,350,2
2020-09-23,391,6
2020-09-24,406,5
2020-09-25,379,3
2020-09-26,233,4
2020-09-27,167,1
2020-09-28,419,2
2020-09-29,381,6
2020-09-30,462,2
2020-10-01,364,4
2020-10-02,415,4
2020-10-03,227,3
2020-10-04,152,5
2020-10-05,553,3
2020-10-06,558,2
2020-10-07,548,1
2020-10-08,612,3
2020-10-09,668,4
2020-10-10,442,5
2020-10-11,300,4
2020-10-12,681,4
2020-10-13,876,5
2020-10-14,850,3
2020-10-15,907,2
2020-10-16,953,3
2020-10-17,547,5
2020-10-18,347,1
2020-10-19,1165,3
2020-10-20,1196,5
2020-10-21,1180,6
2020-10-22,1307,4
2020-10-23,1016,4
2020-10-24,883,5
2020-10-25,525,10
2020-10-26,1539,8
2020-10-27,1627,4
2020-10-28,1736,9
2020-10-29,1887,4
2020-10-30,1871,4
2020-10-31,1066,10
2020-11-01,733,6
2020-11-02,2323,15
2020-11-03,2140,13
2020-11-04,2512,8
2020-11-05,2637,6
2020-11-06,2789,10
2020-11-07,1568,14
2020-11-08,1105,11
2020-11-09,3227,14
2020-11-10,3352,14
2020-11-11,2489,9
2020-11-12,2927,18
2020-11-13,2691,19
2020-11-14,1400,16
2020-11-15,833,13
2020-11-16,2556,26
2020-11-17,2462,21
2020-11-18,2326,17
2020-11-19,2167,17
2020-11-20,2300,32
2020-11-21,1264,18
2020-11-22,780,15
2020-11-23,2374,19
2020-11-24,1923,17
2020-11-25,1833,18
2020-11-26,265,23
2020-11-27,1255,23
2020-11-28,1373,17
2020-11-29,898,18
2020-11-30,2389,23
2020-12-01,2187,36
2020-12-02,2049,36
2020-12-03,2070,30
